intercept,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r_on,r13_lag,R2,adjR2
-0.000180227,-0.06817973,0.239552064,0.243303302,0.12516258,0.028314295,0.084912632,0.067062241,0.273298655,0.028912829,0.006402697,0.019563972,0.068582623,0.077285639,-0.146227267,0.140088554,0.105193597
-0.00016831,-0.110097279,0.190011881,0.233358317,0.16794441,-0.026721367,0.082181488,0.071913385,0.278826614,-0.01293905,-0.046776161,0.027456617,0.149348244,0.050432073,-0.162681545,0.142819513,0.108035377
-0.00016878,-0.10614388,0.172491926,0.244557986,0.188236929,-0.032046205,0.126889349,0.118409513,0.301726645,0.025923378,-0.071141853,0.038795603,0.157418807,0.04797528,-0.173854089,0.16980608,0.136117052
-0.000285767,-0.23243386,0.256526475,0.304904366,0.177979303,0.003226498,0.217840771,0.04463586,0.221831768,-0.078505812,-0.075683521,0.056133609,0.193694374,0.055008917,-0.159975755,0.217196958,0.185431037
-0.000306578,-0.23241672,0.292705235,0.352004628,0.182904959,0.001323546,0.192914746,0.090793091,0.17473109,-0.035509587,-0.060677405,0.094276217,0.274003935,0.056068807,-0.088667478,0.223535073,0.192026352
-0.00029513,-0.235138703,0.276080438,0.396792938,0.220257012,0.017356727,0.151822882,0.04333383,0.192354211,0.019892747,-0.05434726,0.101194129,0.200930948,0.061423858,-0.064446172,0.215099803,0.18324878
-0.000261015,-0.225310585,0.323953455,0.389957771,0.245516504,0.038092828,0.183207942,0.075826421,0.205708444,-0.007904839,-0.07022469,0.159471702,0.221494645,0.094065128,-0.068036326,0.269112892,0.239453705
-0.000271659,-0.207879062,0.31995946,0.402817109,0.240606243,0.036771934,0.185087291,0.064294987,0.202361027,-0.009990428,-0.056351537,0.17794494,0.206205433,0.089093667,-0.08414875,0.2672026,0.237465894
-0.000284873,-0.189507341,0.347626085,0.455235625,0.221802454,0.031347512,0.235376748,0.021615315,0.249503091,0.029670866,-0.064501655,0.155053709,0.210418787,0.102817365,-0.079762592,0.30261122,0.274311385
-0.000278149,-0.184771327,0.273963733,0.422936481,0.18403636,0.132687244,0.312773818,0.000411863,0.238644407,0.072192151,-0.081730945,0.185021291,0.228203729,0.102678585,-0.092391962,0.300612121,0.272231164
-0.000302318,-0.202435347,0.276003143,0.421945669,0.200148271,0.119331055,0.290401035,-0.033721765,0.216514122,0.072885919,-0.063362361,0.194125501,0.234108547,0.104480989,-0.108130473,0.305119291,0.276921234
-0.000266209,-0.170268412,0.267222966,0.420317178,0.189475378,0.145648707,0.295963904,-0.043976086,0.233098609,0.051023347,-0.055528679,0.198070997,0.232087839,0.115047347,-0.112681936,0.302255101,0.273940815
-0.00027552,-0.170897217,0.266477405,0.431304711,0.1906899,0.160912974,0.291130206,-0.034646627,0.220544994,0.054053793,-0.064098474,0.19314377,0.239288394,0.116795135,-0.11770144,0.309533104,0.281514158
-0.000265478,-0.175839002,0.266040378,0.441387727,0.184363987,0.163746453,0.297847571,-0.043973285,0.209030924,0.059948768,-0.063383764,0.185869166,0.236316927,0.113326453,-0.122372314,0.3086443,0.280589286
-0.000252321,-0.173027108,0.268304888,0.532152068,0.15274204,0.177921313,0.187760707,-0.094847154,0.187068373,0.050303254,-0.092874526,0.181440235,0.275790529,0.11811105,-0.116977269,0.339879119,0.313091605
-0.000261091,-0.18860015,0.292263554,0.510332899,0.130419175,0.179647296,0.20445065,-0.084036319,0.166430462,0.093280031,-0.10650284,0.154486324,0.269418762,0.129657901,-0.138498271,0.352246844,0.325961209
-0.000345828,-0.185121972,0.3063507,0.472164342,0.125825517,0.189668243,0.190709525,-0.268271946,0.097529346,0.131785723,-0.056437872,0.219648866,0.240061789,0.13324819,-0.094904811,0.336784661,0.309871575
-0.000308373,-0.230809188,0.266656844,0.394149227,0.19057678,0.17049606,0.142014619,-0.108915708,0.148876425,0.074188955,0.073386275,0.340425142,0.26845519,0.158849206,-0.167927983,0.338675165,0.311838795
-0.000403461,-0.230511508,0.195422303,0.487032581,0.104840132,0.067944009,0.124532909,-0.128957297,0.131533655,0.019669535,0.161295116,0.315571555,0.210781497,0.168360861,-0.27824208,0.321019775,0.293466954
-0.000443364,-0.221030292,0.208196749,0.481078428,0.114683836,0.110522437,0.107523924,-0.136728158,0.126105809,0.013694358,0.138949459,0.315758573,0.213846073,0.159554584,-0.25099951,0.315797893,0.28803317
-0.000423966,-0.231186027,0.223933758,0.470586462,0.135525614,0.116049376,0.096378913,-0.125764469,0.158164304,0.011901936,0.136988726,0.324856286,0.203323686,0.156128954,-0.253020603,0.314047003,0.286211229
-0.000404495,-0.226387014,0.220337474,0.476012491,0.134197852,0.120305783,0.098728833,-0.134049031,0.157241969,0.006391347,0.134951784,0.321770738,0.203912986,0.156918684,-0.250433592,0.313844605,0.286000618
-0.000404204,-0.226463121,0.223638515,0.483276472,0.139410959,0.12142957,0.099005644,-0.13301438,0.159317177,0.005472207,0.13559496,0.319555417,0.206402065,0.158159854,-0.250466479,0.31831144,0.290648716
-0.000408216,-0.225443469,0.215821834,0.493678847,0.144770953,0.123057765,0.1134283,-0.129215489,0.158366696,0.009020319,0.139699567,0.315016584,0.211843383,0.159139149,-0.25087305,0.322453571,0.294958934
-0.000411437,-0.232215931,0.212299491,0.482447988,0.133490131,0.118110382,0.098028078,-0.127456755,0.152092745,0.012549972,0.13612471,0.326518118,0.204129791,0.156714302,-0.255142422,0.321103948,0.293554543
-0.000392559,-0.227677048,0.263078919,0.466155614,0.091392979,0.186600068,0.068810932,-0.102907006,0.175928111,0.007596729,0.128809043,0.307596929,0.200345881,0.163014343,-0.261978284,0.320570043,0.292998973
-0.00033759,-0.224418737,0.237507557,0.427531823,0.068459521,0.109319939,0.054006306,-0.132243608,0.194817356,0.016688266,0.101449932,0.298969941,0.186978269,0.175976214,-0.229424214,0.303350789,0.275080966
-0.00031679,-0.238097133,0.235346912,0.425887643,0.073626026,0.109968123,0.051992317,-0.117812218,0.197681688,0.03751269,0.112656052,0.290824827,0.192149285,0.171664028,-0.227932781,0.302716349,0.274420781
-0.000286948,-0.234171908,0.220310953,0.418512292,0.08149708,0.099303893,0.059356629,-0.116274667,0.179223694,0.02099498,0.111003827,0.276556988,0.184913918,0.166528419,-0.231091664,0.295494904,0.266906292
-0.000281013,-0.246873488,0.234500812,0.414549872,0.081060984,0.097078885,0.048132435,-0.144857205,0.208717162,0.030435366,0.131428625,0.284952597,0.188315656,0.163784378,-0.234344644,0.321682953,0.294157044
-0.000300733,-0.248714709,0.276238377,0.442562302,0.114305343,0.120663373,0.047327692,-0.175335494,0.194295641,0.015393829,0.104327151,0.234874255,0.202614197,0.166407465,-0.267229694,0.351739836,0.325433627
-0.000364775,-0.256839552,0.284717809,0.442446436,0.061183211,0.0332592,0.019191324,-0.132403464,0.219412285,0.019595233,0.111165093,0.253996456,0.205727582,0.180724622,-0.230112691,0.341401016,0.31467526
-0.000335273,-0.206849818,0.344947069,0.407333754,0.064532928,0.10426729,-0.047909905,-0.179874464,0.176899062,-0.008061946,0.099541437,0.206286692,0.213457998,0.185462244,-0.252597185,0.339647177,0.312850251
-0.000330857,-0.20049456,0.338345616,0.43344907,0.076308396,0.102796864,-0.034481657,-0.189287834,0.186043307,-0.019380032,0.111130753,0.190531368,0.220764571,0.18552817,-0.256926425,0.350786407,0.324441508
-0.000453741,-0.155591325,0.337048596,0.372730133,0.066789155,0.170819095,-0.156707922,-0.15871411,0.280594832,-0.104177747,0.16171515,0.186225732,0.238579882,0.205333546,-0.234461005,0.343877578,0.31725232
-0.000400752,-0.166413887,0.315030988,0.379783038,0.114511935,0.147494098,-0.129402756,-0.142326381,0.241157328,-0.132452522,0.197875337,0.163667665,0.286401499,0.211026645,-0.254350093,0.359490716,0.333499035
-0.000462519,-0.168142642,0.274351135,0.356986042,0.105035826,0.114976731,-0.076127276,-0.219924449,0.230867877,-0.170006608,0.20339598,0.153116928,0.246755254,0.195439541,-0.279114143,0.345434479,0.3188724
-0.000454863,-0.156420526,0.265313864,0.379125047,0.102023436,0.111626851,-0.053130495,-0.215091916,0.218675333,-0.159602363,0.217154776,0.128635909,0.253357625,0.192951682,-0.269706917,0.342408532,0.315723661
-0.000457044,-0.156402814,0.265145677,0.378882564,0.102147721,0.111395254,-0.053514247,-0.215292867,0.21857105,-0.159502006,0.217029056,0.128602054,0.2532772,0.192992536,-0.26972108,0.342488177,0.315806538
-0.000455178,-0.110941438,0.270151704,0.394739688,0.107838613,0.096334094,-0.034329813,-0.226740675,0.184215727,-0.163341908,0.219338812,0.119858317,0.265391352,0.210851313,-0.262818639,0.345020523,0.318441645
-0.000451975,-0.106314875,0.244095789,0.393179144,0.094248804,0.089435048,-0.036633032,-0.221754667,0.186876932,-0.140627687,0.231703651,0.104269678,0.264669689,0.209621621,-0.251189773,0.344151397,0.31753725
-0.000433008,-0.103402605,0.258058344,0.414151137,0.098908157,0.107976567,-0.047493287,-0.228071194,0.165768565,-0.148955827,0.251098745,0.109318682,0.267651872,0.207620698,-0.251802363,0.349640406,0.323249003
-0.000300507,-0.062747357,0.244111291,0.436236908,0.095725679,0.07547481,-0.060709521,-0.269294592,0.095368194,-0.108399687,0.244736298,0.094218501,0.237665319,0.211830469,-0.233850103,0.326220946,0.298879187
-0.00028216,-0.079195473,0.23488812,0.444412699,0.083164628,0.101129804,-0.044556377,-0.274507988,0.103756049,-0.07498639,0.24787636,0.126193828,0.241539583,0.205774368,-0.225790456,0.324928427,0.297534218
-0.000365355,-0.097578211,0.233730776,0.414621827,0.111611869,0.135878026,-0.074310986,-0.243842298,0.117625491,-0.063467468,0.214770245,0.103379395,0.239255172,0.186755409,-0.239758856,0.309158178,0.281124017
-0.000358958,-0.096713141,0.237207434,0.414373674,0.107810366,0.138323962,-0.075246923,-0.245199082,0.114893938,-0.063122683,0.21247615,0.105786318,0.237561199,0.186460956,-0.240688638,0.308960531,0.280918349
-0.000385524,-0.098808182,0.2271539,0.422140315,0.096940211,0.136805656,-0.063047036,-0.240251271,0.112014858,-0.048492903,0.218503062,0.103629971,0.241595744,0.184824338,-0.238183516,0.308260268,0.280189671
-0.000378835,-0.094083556,0.230637002,0.418656298,0.094509964,0.144709121,-0.065025698,-0.240172005,0.108804493,-0.051993852,0.217445962,0.096297324,0.240100029,0.184719691,-0.238627247,0.307724928,0.279632606
-0.000352215,-0.082259964,0.228027472,0.429903533,0.080235429,0.137037608,-0.052519054,-0.224380464,0.099972689,-0.061446387,0.222426496,0.108685332,0.24104328,0.182879366,-0.238408224,0.303228236,0.274953439
-0.000311731,-0.090922612,0.222334818,0.422282261,0.092677278,0.139367613,-0.040580314,-0.243675462,0.093726872,-0.059038025,0.217337341,0.104219792,0.237557531,0.181058148,-0.233698357,0.299915466,0.271506238
-0.000318906,-0.092013175,0.222601333,0.421407443,0.092263305,0.138070318,-0.040805493,-0.243071298,0.093793307,-0.058942145,0.215140021,0.102789702,0.235903724,0.180261967,-0.235075102,0.300320636,0.271927851
-0.000307966,-0.092045728,0.221782881,0.422417372,0.092326262,0.13935139,-0.040474737,-0.242712898,0.094065965,-0.059443355,0.214819601,0.102138327,0.235832373,0.179673535,-0.234816779,0.300713091,0.272336231
-0.000291767,-0.095071656,0.229440212,0.420921829,0.086398681,0.144700905,-0.050515091,-0.240040857,0.096273704,-0.071014989,0.208494733,0.105737945,0.225068328,0.179728885,-0.239416512,0.299066933,0.270623272
-0.00030338,-0.096886098,0.229061779,0.420273876,0.087371619,0.145158316,-0.052565432,-0.239330401,0.095457625,-0.070225266,0.208836783,0.105958244,0.224860172,0.178999198,-0.24046066,0.299149787,0.270709489
-0.000266145,-0.103872136,0.217245222,0.424418029,0.058459874,0.137164224,-0.062154089,-0.227564888,0.114041892,-0.091063767,0.194518225,0.100087634,0.221417437,0.179024768,-0.241386132,0.293301066,0.264623428
-0.000249685,-0.101735015,0.215611449,0.423844455,0.052941058,0.135286791,-0.061570531,-0.228068952,0.113210552,-0.09069522,0.194310829,0.097008017,0.222495121,0.180345562,-0.238605459,0.293117608,0.264432525
-0.000254421,-0.101128573,0.215934988,0.423743183,0.054907782,0.134446051,-0.061363754,-0.227625582,0.112950096,-0.090366085,0.194019416,0.095579188,0.221858918,0.179301704,-0.238744163,0.292299753,0.263581483
-0.000256299,-0.10232991,0.210884305,0.424757491,0.053331596,0.138575382,-0.059988582,-0.237069281,0.108357219,-0.084917886,0.195562597,0.096168767,0.222774376,0.179661948,-0.236660037,0.293135129,0.264450757
-0.000241036,-0.101104633,0.216043059,0.424486966,0.059087873,0.145698987,-0.060039318,-0.2387911,0.105506416,-0.085268323,0.198709902,0.094139253,0.222412226,0.180407645,-0.236057045,0.293874022,0.265219634
-0.000241495,-0.103246909,0.215014516,0.424047697,0.056572484,0.144295757,-0.059532787,-0.240193396,0.109460222,-0.086961824,0.19859759,0.094104927,0.221732548,0.179639834,-0.236722158,0.29419695,0.265555667
-0.000258156,-0.092559925,0.206833871,0.411626315,0.050983032,0.14264422,-0.06386681,-0.25546785,0.092975948,-0.09076673,0.191509124,0.093135218,0.218836919,0.181520391,-0.232622053,0.291124283,0.262358312
-0.000240162,-0.095582917,0.212321171,0.413525015,0.049001877,0.142462278,-0.057092474,-0.256523037,0.096953519,-0.08660069,0.187830549,0.091016215,0.217375854,0.179939228,-0.233255992,0.2906541,0.261869049
-0.000212036,-0.090140732,0.201940889,0.414550034,0.045820906,0.142777843,-0.055368299,-0.256420263,0.086421602,-0.0845719,0.193494455,0.094342725,0.215432992,0.18359307,-0.22970361,0.289109083,0.260261335
-0.000210763,-0.08996921,0.201279281,0.414925401,0.056703851,0.145294681,-0.053391857,-0.257808794,0.090289664,-0.086870351,0.195181556,0.091642184,0.213242383,0.182813939,-0.229535816,0.289176539,0.260331529
-0.000183559,-0.095571082,0.203025193,0.412868168,0.054186876,0.136603096,-0.050022678,-0.257088252,0.085460156,-0.078213468,0.194367725,0.100988658,0.211757567,0.181464064,-0.229111817,0.287183792,0.258257917
-0.000194139,-0.080721274,0.206299708,0.409758014,0.0460681,0.141836666,-0.050289301,-0.25980098,0.084965524,-0.080134614,0.190565367,0.096539588,0.212594354,0.18429418,-0.230368772,0.286601689,0.257652192
-0.000154752,-0.077494937,0.201837044,0.407907089,0.049079308,0.139809011,-0.049295202,-0.264162823,0.081652731,-0.083687824,0.185197315,0.089986308,0.212175166,0.186035695,-0.230383853,0.287333373,0.258413568
-0.000196994,-0.081800338,0.189970477,0.422148081,0.034710396,0.124022793,-0.056469455,-0.247286476,0.104384828,-0.091017482,0.18674081,0.095098796,0.217049373,0.186802262,-0.224399504,0.289404446,0.260568685
-0.000173864,-0.097192752,0.187939942,0.41067512,0.042231743,0.127103913,-0.059912693,-0.235731489,0.095219516,-0.080162803,0.192303773,0.100732595,0.213204839,0.180050056,-0.227513295,0.284345631,0.255304584
-0.000141827,-0.10967195,0.180581707,0.411495518,0.052452124,0.122692022,-0.066006964,-0.228771154,0.100645205,-0.063945657,0.191669109,0.105730739,0.211783686,0.176919477,-0.229199952,0.282836576,0.253734292
-0.000143175,-0.112295483,0.181712664,0.409137231,0.048581381,0.112910132,-0.07187027,-0.224273639,0.100646163,-0.058805603,0.190425582,0.108019037,0.211344424,0.177502115,-0.229146229,0.281707697,0.252559604
-0.000144778,-0.104961689,0.179066727,0.413521072,0.050573499,0.111406325,-0.068026131,-0.230166753,0.093799276,-0.054271574,0.191048168,0.109242503,0.212903943,0.179685857,-0.227699074,0.282211273,0.253083614
-0.000133502,-0.106421683,0.174273698,0.38678641,0.087348717,0.108653895,-0.074114934,-0.223001703,0.053375318,-0.021200345,0.184314772,0.134810995,0.219339668,0.182260125,-0.229511189,0.279548519,0.250312806
-7.90E-05,-0.112188169,0.175592227,0.37640909,0.086274374,0.091744217,-0.052682224,-0.214436932,0.052752655,0.006668822,0.193419763,0.129942996,0.215786958,0.175409622,-0.22370235,0.270378358,0.240770523
-2.32E-05,-0.109029392,0.184368144,0.37255702,0.11847164,0.088551728,-0.030633336,-0.227542006,0.063555454,0.015834102,0.1867836,0.114218437,0.21549386,0.16865607,-0.222926483,0.267476473,0.237750881
-1.91E-05,-0.118644193,0.181647567,0.374415313,0.126579128,0.09272552,-0.036814095,-0.216957231,0.063704708,0.029043678,0.193312463,0.110190482,0.216101052,0.167039032,-0.226568122,0.267808442,0.238096321
-2.74E-05,-0.12083117,0.180876295,0.369741647,0.113738467,0.104539859,-0.046732551,-0.210155363,0.068102892,0.030830916,0.196411777,0.104503607,0.216411836,0.166192847,-0.227149254,0.266557933,0.236795067
-1.28E-05,-0.119993519,0.184109604,0.37002953,0.114753019,0.102517794,-0.044518198,-0.209695425,0.071888957,0.030435702,0.197211837,0.104002086,0.213196844,0.167596188,-0.228745595,0.267913028,0.23820515
-6.38E-05,-0.117515426,0.194811656,0.356783053,0.119218341,0.111128851,-0.03477603,-0.190861411,0.058312702,0.024620135,0.188074928,0.11051921,0.212185692,0.172281305,-0.226770811,0.268206431,0.23851046
-5.97E-05,-0.119278251,0.193280213,0.356804407,0.115502644,0.112749083,-0.033896704,-0.189510237,0.057668793,0.024203858,0.190116592,0.109507311,0.21105317,0.171989589,-0.228085803,0.267978381,0.238273156
-5.23E-05,-0.118983305,0.195628973,0.355907644,0.116180615,0.114589677,-0.032202461,-0.188076397,0.05449338,0.023971661,0.190016567,0.108959773,0.212270702,0.171480886,-0.227874746,0.267707323,0.237991098
-8.71E-05,-0.110578186,0.195544175,0.345854403,0.10497131,0.124757089,-0.030331665,-0.191530808,0.058007987,0.014724493,0.182729912,0.103734491,0.2058407,0.17143211,-0.226216386,0.263084854,0.233181051
-9.00E-05,-0.113027143,0.194263531,0.346819506,0.105957877,0.125871625,-0.028602611,-0.190209432,0.057561786,0.020168223,0.183962953,0.10278265,0.2073127,0.170788366,-0.225595811,0.262909695,0.232998784
-0.000137336,-0.104774558,0.191047153,0.321718652,0.098064123,0.108298594,-0.036331436,-0.200617896,0.058060059,0.012167303,0.167127317,0.111596229,0.20083944,0.17268479,-0.222719057,0.258418292,0.228325121
-0.000123315,-0.100888528,0.19067852,0.322526826,0.098886557,0.110093898,-0.037846575,-0.198761569,0.062333665,0.011232667,0.166501942,0.109269466,0.200660053,0.173540011,-0.222651964,0.258069375,0.227962045
-0.000131856,-0.101314068,0.194706756,0.3146161,0.102944308,0.11228751,-0.039594875,-0.199050542,0.062418832,0.012047831,0.168462333,0.10855303,0.197044287,0.172761316,-0.224716579,0.256964545,0.226812381
