threshold,adjR2Geq,#>=,adjR2L,#<
1e-04,0.100428936895499,2722,,13
2e-04,0.102784670902993,2254,0.0120160702884103,481
3e-04,0.110896697023529,1456,0.00866995475140087,1279
4e-04,0.12338458643835,931,0.0125744445526755,1804
5e-04,0.143755336445036,583,0.00702976638064856,2152
6e-04,0.158236052156971,369,0.0226747710401485,2366
7e-04,0.171956470546155,258,0.0203102778408045,2477
8e-04,0.211304074922821,192,0.0232902045086764,2543
9e-04,0.214212108129303,139,0.0344037247451467,2596
0.001,0.203088409755547,106,0.0358631801341812,2629
0.0011,0.234017816168477,82,0.0418204478834873,2653
0.0012,0.276629579273491,69,0.0421733636852095,2666
0.0013,0.225070726649365,57,0.0495282095571663,2678
0.0014,0.203058618579674,45,0.0555615810805157,2690
0.0015,0.236237869845492,40,0.0569018329767533,2695
0.0016,0.273336791651101,33,0.0531547023822422,2702
0.0017,0.291844032959668,28,0.0485857590267045,2707
0.0018,-0.319805433791341,18,0.0798357748472794,2717
0.0019,,15,0.088668863691791,2720
0.002,,12,0.0851408766876128,2723
0.0021,,11,0.0814140688202057,2724
0.0022,,10,0.0809237061863844,2725
0.0023,,8,0.0783247430735548,2727
0.0024,,8,0.0783247430735548,2727
0.0025,,5,0.0958311683581907,2730
0.0026,,3,0.106024332666971,2732
0.0027,,2,0.100737550333462,2733
0.0028,,2,0.100737550333462,2733
0.0029,,2,0.100737550333462,2733
0.003,0,1,0.104427505058676,2734
0.0031,0,1,0.104427505058676,2734
0.0032,0,1,0.104427505058676,2734
0.0033,0,1,0.104427505058676,2734
0.0034,0,1,0.104427505058676,2734
0.0035,0,1,0.104427505058676,2734
0.0036,0,1,0.104427505058676,2734
0.0037,0,1,0.104427505058676,2734
0.0038,0,1,0.104427505058676,2734
0.0039,0,1,0.104427505058676,2734
0.004,0,1,0.104427505058676,2734
0.0041,0,1,0.104427505058676,2734
0.0042,0,1,0.104427505058676,2734
