datetime,regime
2007-08-01,1
2007-08-02,1
2007-08-03,1
2007-08-06,1
2007-08-08,1
2007-08-09,1
2007-08-10,1
2007-08-13,1
2007-08-14,1
2007-08-17,1
2007-08-21,1
2007-08-22,1
2007-08-23,1
2007-08-24,1
2007-08-28,1
2007-08-31,1
2007-09-04,1
2007-09-05,1
2007-09-06,1
2007-09-07,1
2007-09-10,1
2007-09-12,1
2007-09-14,1
2007-09-17,1
2007-09-18,1
2007-09-19,1
2007-09-20,1
2007-09-21,1
2007-09-24,1
2007-09-25,1
2007-09-26,1
2007-09-27,1
2007-10-01,1
2007-10-02,1
2007-10-03,1
2007-10-04,1
2007-10-08,1
2007-10-09,1
2007-10-10,1
2007-10-11,0
2007-10-12,1
2007-10-15,1
2007-10-16,1
2007-10-17,1
2007-10-18,1
2007-10-19,1
2007-10-22,1
2007-10-23,1
2007-10-24,0
2007-10-25,1
2007-10-26,1
2007-10-30,1
2007-10-31,1
2007-11-01,1
2007-11-02,1
2007-11-05,0
2007-11-06,1
2007-11-07,1
2007-11-08,0
2007-11-09,0
2007-11-12,0
2007-11-13,0
2007-11-14,0
2007-11-15,0
2007-11-16,0
2007-11-19,0
2007-11-20,0
2007-11-21,0
2007-11-26,1
2007-11-27,0
2007-11-28,1
2007-11-29,1
2007-11-30,1
2007-12-03,1
2007-12-04,1
2007-12-05,1
2007-12-06,1
2007-12-07,1
2007-12-10,1
2007-12-11,1
2007-12-12,1
2007-12-13,1
2007-12-17,1
2007-12-18,0
2007-12-19,1
2007-12-20,1
2007-12-21,1
2007-12-26,1
2007-12-28,1
2007-12-31,1
2008-01-02,1
2008-01-03,1
2008-01-04,1
2008-01-07,0
2008-01-08,0
2008-01-09,0
2008-01-10,0
2008-01-11,1
2008-01-14,1
2008-01-15,1
2008-01-16,0
2008-01-17,0
2008-01-18,1
2008-01-22,0
2008-01-23,0
2008-01-24,0
2008-01-25,0
2008-01-28,0
2008-01-29,0
2008-01-30,0
2008-01-31,0
2008-02-01,0
2008-02-04,1
2008-02-05,0
2008-02-06,1
2008-02-07,0
2008-02-08,1
2008-02-11,1
2008-02-12,1
2008-02-13,1
2008-02-14,1
2008-02-15,1
2008-02-19,1
2008-02-20,1
2008-02-21,1
2008-02-22,1
2008-02-25,1
2008-02-26,0
2008-02-27,1
2008-02-28,0
2008-02-29,0
2008-03-03,1
2008-03-04,0
2008-03-05,1
2008-03-06,1
2008-03-07,0
2008-03-10,0
2008-03-11,0
2008-03-12,0
2008-03-13,0
2008-03-14,0
2008-03-17,0
2008-03-18,0
2008-03-19,0
2008-03-20,0
2008-03-24,0
2008-03-25,1
2008-03-26,0
2008-03-27,1
2008-03-28,1
2008-03-31,1
2008-04-01,1
2008-04-02,0
2008-04-03,1
2008-04-04,0
2008-04-07,1
2008-04-08,1
2008-04-09,0
2008-04-10,1
2008-04-11,1
2008-04-14,1
2008-04-15,1
2008-04-16,0
2008-04-17,0
2008-04-18,1
2008-04-21,1
2008-04-22,1
2008-04-23,1
2008-04-24,1
2008-04-28,1
2008-04-29,1
2008-04-30,1
2008-05-01,1
2008-05-02,1
2008-05-05,1
2008-05-06,1
2008-05-07,1
2008-05-08,1
2008-05-09,1
2008-05-12,1
2008-05-13,1
2008-05-14,1
2008-05-15,1
2008-05-16,1
